Area,Year,Yield,Avg_Temp,Max_Temp,Min_Temp,Total_Rainfall,Extreme_Rain,Extreme_Heat
Region B,2002,5.21,27.654196971205906,33.71589252459729,21.745072135170403,571.221472587144,63.0766880116278,15.495128632644757
Region B,2003,5.05,22.047230260989622,28.50337596197983,13.987965787377725,537.4102727020722,58.692975339942045,12.327236865873834
Region B,2004,5.04,22.384979779038503,31.31085958600357,16.386610868246706,825.9605175784809,115.00794579811098,5.929008254399955
Region B,2005,5.32,24.505627926620136,30.358248545056593,19.18036996169374,1160.6418636850667,204.92664534497098,21.16794696232922
Region B,2006,5.19,20.26459276842719,25.752953338459108,11.843427635866405,768.917420179493,70.89712608437009,14.903538202225404
Region B,2007,5.41,16.481439295613058,26.02804130600697,10.187539387612972,940.1421589525661,104.51664512061794,15.401360423556216
Region B,2008,5.48,23.653943910805914,29.57821618843355,13.806020771983121,1026.8522739880582,178.6208443745008,22.896547008552975
Region B,2009,4.8,24.37059970335519,33.97997087847077,18.928137193095594,580.9068040627418,49.09982831076364,11.506606615265287
Region B,2010,4.81,21.44148205565275,27.798227214522228,12.297794509893102,704.7000615540637,76.17346155126089,15.85392166316497
Region B,2011,5.47,17.972939149646677,26.983924053416878,12.600185931247823,1189.9029411823983,187.08186752447338,8.974313630683447
Region B,2012,5.56,16.077309639730434,25.154616782004602,7.543022920492348,991.3355193915602,155.76561052364687,6.480893034681808
Region B,2013,5.09,21.018520199619815,26.597865497245465,11.703003070241847,909.9395576572197,102.9048848489843,6.271167005720473
Region B,2014,5.41,20.35375250401927,26.979669114153005,11.705721612328949,920.919252943514,155.3786698450168,14.444298503238986
Region B,2015,5.1,17.674319443136223,26.2405433792512,8.870394200051736,862.1834421285121,135.4461890684145,14.875911927287815
Region B,2016,4.81,23.318259611347916,30.455964703140666,18.19116397762744,513.0763987848444,42.65866924367653,17.72820822527561
Region B,2017,4.76,20.40098373506857,27.943837190892086,10.863151365438107,621.9550164446337,75.28037308009289,20.111022770860973
Region B,2018,4.97,19.203174316882716,24.588073866026683,12.754417052313876,554.1403911855834,95.84953337018987,21.16240759128834
Region B,2019,4.8,24.867652591145927,34.224955542084516,15.849292206650354,573.6589453422475,97.09516100032914,15.786844838313014
Region B,2020,5.02,27.304162172296877,36.784618671914345,20.71414479743756,514.739981886311,52.911932694714125,13.542155772525126
Region C,2000,3.29,21.243561663863076,30.997133195912657,12.583591954806051,890.9670328317181,85.17810914068109,8.119890406724053
Region C,2001,2.97,16.813170570354792,26.144051299229467,8.807595511638748,975.215884902955,80.02470337423249,24.398197043239886
Region C,2002,2.84,27.654196971205906,33.71589252459729,21.745072135170403,571.221472587144,63.0766880116278,15.495128632644757
Region C,2003,2.7,22.047230260989622,28.50337596197983,13.987965787377725,537.4102727020722,58.692975339942045,12.327236865873834
Region C,2004,3.37,22.384979779038503,31.31085958600357,16.386610868246706,825.9605175784809,115.00794579811098,5.929008254399955
Region C,2005,3.71,24.505627926620136,30.358248545056593,19.18036996169374,1160.6418636850667,204.92664534497098,21.16794696232922
Region C,2006,2.82,20.26459276842719,25.752953338459108,11.843427635866405,768.917420179493,70.89712608437009,14.903538202225404
Region C,2007,2.67,16.481439295613058,26.02804130600697,10.187539387612972,940.1421589525661,104.51664512061794,15.401360423556216
Region C,2008,2.9,23.653943910805914,29.57821618843355,13.806020771983121,1026.8522739880582,178.6208443745008,22.896547008552975
Region C,2009,2.72,24.37059970335519,33.97997087847077,18.928137193095594,580.9068040627418,49.09982831076364,11.506606615265287
Region C,2010,3.14,21.44148205565275,27.798227214522228,12.297794509893102,704.7000615540637,76.17346155126089,15.85392166316497
Region C,2011,3.31,17.972939149646677,26.983924053416878,12.600185931247823,1189.9029411823983,187.08186752447338,8.974313630683447
Region C,2012,3.48,16.077309639730434,25.154616782004602,7.543022920492348,991.3355193915602,155.76561052364687,6.480893034681808
Region C,2013,3.54,21.018520199619815,26.597865497245465,11.703003070241847,909.9395576572197,102.9048848489843,6.271167005720473
Region C,2014,3.18,20.35375250401927,26.979669114153005,11.705721612328949,920.919252943514,155.3786698450168,14.444298503238986
Region C,2015,2.64,17.674319443136223,26.2405433792512,8.870394200051736,862.1834421285121,135.4461890684145,14.875911927287815
Region C,2016,2.48,23.318259611347916,30.455964703140666,18.19116397762744,513.0763987848444,42.65866924367653,17.72820822527561
Region C,2017,3.04,20.40098373506857,27.943837190892086,10.863151365438107,621.9550164446337,75.28037308009289,20.111022770860973
Region C,2018,2.72,19.203174316882716,24.588073866026683,12.754417052313876,554.1403911855834,95.84953337018987,21.16240759128834
Region C,2019,2.98,24.867652591145927,34.224955542084516,15.849292206650354,573.6589453422475,97.09516100032914,15.786844838313014
Region C,2020,2.48,27.304162172296877,36.784618671914345,20.71414479743756,514.739981886311,52.911932694714125,13.542155772525126
Region D,2000,3.84,21.243561663863076,30.997133195912657,12.583591954806051,890.9670328317181,85.17810914068109,8.119890406724053
Region D,2001,3.17,16.813170570354792,26.144051299229467,8.807595511638748,975.215884902955,80.02470337423249,24.398197043239886
Region D,2002,3.4,27.654196971205906,33.71589252459729,21.745072135170403,571.221472587144,63.0766880116278,15.495128632644757
Region D,2003,2.9,22.047230260989622,28.50337596197983,13.987965787377725,537.4102727020722,58.692975339942045,12.327236865873834
Region D,2004,3.02,22.384979779038503,31.31085958600357,16.386610868246706,825.9605175784809,115.00794579811098,5.929008254399955
Region D,2005,3.74,24.505627926620136,30.358248545056593,19.18036996169374,1160.6418636850667,204.92664534497098,21.16794696232922
Region D,2006,2.77,20.26459276842719,25.752953338459108,11.843427635866405,768.917420179493,70.89712608437009,14.903538202225404
Region D,2007,3.08,16.481439295613058,26.02804130600697,10.187539387612972,940.1421589525661,104.51664512061794,15.401360423556216
Region D,2008,3.25,23.653943910805914,29.57821618843355,13.806020771983121,1026.8522739880582,178.6208443745008,22.896547008552975
Region D,2009,3.51,24.37059970335519,33.97997087847077,18.928137193095594,580.9068040627418,49.09982831076364,11.506606615265287
Region D,2010,2.76,21.44148205565275,27.798227214522228,12.297794509893102,704.7000615540637,76.17346155126089,15.85392166316497
Region D,2011,3.46,17.972939149646677,26.983924053416878,12.600185931247823,1189.9029411823983,187.08186752447338,8.974313630683447
Region D,2012,3.13,16.077309639730434,25.154616782004602,7.543022920492348,991.3355193915602,155.76561052364687,6.480893034681808
Region D,2013,3.1,21.018520199619815,26.597865497245465,11.703003070241847,909.9395576572197,102.9048848489843,6.271167005720473
Region D,2014,3.54,20.35375250401927,26.979669114153005,11.705721612328949,920.919252943514,155.3786698450168,14.444298503238986
Region D,2015,3.35,17.674319443136223,26.2405433792512,8.870394200051736,862.1834421285121,135.4461890684145,14.875911927287815
Region D,2016,3.13,23.318259611347916,30.455964703140666,18.19116397762744,513.0763987848444,42.65866924367653,17.72820822527561
Region D,2017,2.87,20.40098373506857,27.943837190892086,10.863151365438107,621.9550164446337,75.28037308009289,20.111022770860973
Region D,2018,2.79,19.203174316882716,24.588073866026683,12.754417052313876,554.1403911855834,95.84953337018987,21.16240759128834
Region D,2019,2.94,24.867652591145927,34.224955542084516,15.849292206650354,573.6589453422475,97.09516100032914,15.786844838313014
Region D,2020,3.38,27.304162172296877,36.784618671914345,20.71414479743756,514.739981886311,52.911932694714125,13.542155772525126
Region E,2000,2.75,21.243561663863076,30.997133195912657,12.583591954806051,890.9670328317181,85.17810914068109,8.119890406724053
Region E,2001,2.8,16.813170570354792,26.144051299229467,8.807595511638748,975.215884902955,80.02470337423249,24.398197043239886
Region E,2002,2.52,27.654196971205906,33.71589252459729,21.745072135170403,571.221472587144,63.0766880116278,15.495128632644757
Region E,2003,2.3,22.047230260989622,28.50337596197983,13.987965787377725,537.4102727020722,58.692975339942045,12.327236865873834
Region E,2004,2.46,22.384979779038503,31.31085958600357,16.386610868246706,825.9605175784809,115.00794579811098,5.929008254399955
Region E,2005,3.1,24.505627926620136,30.358248545056593,19.18036996169374,1160.6418636850667,204.92664534497098,21.16794696232922
Region E,2006,2.5,20.26459276842719,25.752953338459108,11.843427635866405,768.917420179493,70.89712608437009,14.903538202225404
Region E,2007,2.68,16.481439295613058,26.02804130600697,10.187539387612972,940.1421589525661,104.51664512061794,15.401360423556216
Region E,2008,3.09,23.653943910805914,29.57821618843355,13.806020771983121,1026.8522739880582,178.6208443745008,22.896547008552975
Region E,2009,3.02,24.37059970335519,33.97997087847077,18.928137193095594,580.9068040627418,49.09982831076364,11.506606615265287
Region E,2010,2.77,21.44148205565275,27.798227214522228,12.297794509893102,704.7000615540637,76.17346155126089,15.85392166316497
Region E,2011,3.13,17.972939149646677,26.983924053416878,12.600185931247823,1189.9029411823983,187.08186752447338,8.974313630683447
Region E,2012,2.99,16.077309639730434,25.154616782004602,7.543022920492348,991.3355193915602,155.76561052364687,6.480893034681808
Region E,2013,2.89,21.018520199619815,26.597865497245465,11.703003070241847,909.9395576572197,102.9048848489843,6.271167005720473
Region E,2014,2.28,20.35375250401927,26.979669114153005,11.705721612328949,920.919252943514,155.3786698450168,14.444298503238986
Region E,2015,2.95,17.674319443136223,26.2405433792512,8.870394200051736,862.1834421285121,135.4461890684145,14.875911927287815
Region E,2016,2.41,23.318259611347916,30.455964703140666,18.19116397762744,513.0763987848444,42.65866924367653,17.72820822527561
Region E,2017,2.51,20.40098373506857,27.943837190892086,10.863151365438107,621.9550164446337,75.28037308009289,20.111022770860973
Region E,2018,2.43,19.203174316882716,24.588073866026683,12.754417052313876,554.1403911855834,95.84953337018987,21.16240759128834
Region E,2019,2.66,24.867652591145927,34.224955542084516,15.849292206650354,573.6589453422475,97.09516100032914,15.786844838313014
Region E,2020,2.8,27.304162172296877,36.784618671914345,20.71414479743756,514.739981886311,52.911932694714125,13.542155772525126
